P;D 
14.499126;27.949644 
14.500881;28.454893 
14.504514;29.529629 
14.512325;31.979879 
0.000000;0.000000 
14.550336;25.391264 
14.665313;65.346481 
14.574990;2.190953 
14.598691;0.979747 
14.622211;0.441402 
14.643746;0.212942 
14.661614;0.116397 
14.674757;0.074683 
14.683247;0.056079 
14.688133;0.047559 
14.690715;0.043593 
14.692009;0.041733 
14.692637;0.040858 
14.692939;0.040445 
14.693082;0.040250 
14.693150;0.040158 
14.693182;0.040114 
14.693197;0.040094 
14.693204;0.040084 
14.693208;0.040080 
14.693210;0.040078 
14.693210;0.040077 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
14.693211;0.040076 
