P;L 
37.000000;53.000000 
37.010822;53.000000 
37.010838;52.999630 
37.010571;52.999607 
37.009872;52.999706 
37.011974;52.994892 
37.010330;53.001148 
37.003014;53.005146 
37.003551;53.016209 
36.996521;53.022903 
37.012108;53.030151 
37.004387;53.025646 
37.009087;53.024246 
37.012012;53.023403 
37.013512;53.021393 
37.012798;53.018188 
37.013493;53.021103 
37.014301;53.020123 
37.014908;53.020023 
37.014416;53.020332 
37.014362;53.020069 
37.014648;53.025436 
37.012173;53.026234 
37.010941;53.026463 
37.010315;53.026466 
37.011738;53.030289 
37.011219;53.029705 
37.007210;53.031017 
37.012451;53.032715 
37.016647;53.055653 
37.004387;53.056057 
36.995773;53.056484 
36.995926;53.054394 
36.997559;53.052254 
37.003418;53.057499 
37.005947;53.056332 
37.015148;53.050388 
37.014824;53.050198 
37.012825;53.052578 
37.013977;53.063740 
37.013451;53.062584 
37.014477;53.063702 
37.027424;53.054718 
37.024021;53.035427 
37.023895;53.035824 
37.031132;53.050320 
37.026745;53.034451 
37.024673;53.045055 
37.023254;53.041374 
37.013069;53.045689 
37.012039;53.044205 
37.010357;53.038906 
37.004902;53.040970 
37.004425;53.024342 
37.007889;53.046749 
37.002811;53.055305 
37.003273;53.054234 
37.005692;53.051338 
37.003731;53.045769 
37.004440;53.042564 
37.003647;53.041088 
37.008793;53.049343 
37.006996;53.061314 
37.012142;53.040894 
37.008018;53.039566 
37.011139;53.045376 
37.006802;53.051601 
37.007896;53.050060 
37.007027;53.049400 
37.011341;53.049816 
37.011562;53.049736 
37.012417;53.052402 
37.015949;53.061440 
37.012016;53.046616 
37.020744;53.031414 
37.014301;53.047890 
37.025021;53.055676 
37.042122;53.053696 
37.039700;53.059013 
37.050415;53.034092 
37.062725;53.067501 
37.086895;53.079800 
37.107788;53.069118 
37.121670;53.041950 
37.124996;53.014252 
37.131001;53.007389 
37.142296;53.014362 
37.143387;53.013748 
37.142479;53.011806 
37.138653;53.011650 
37.134007;53.003860 
37.125301;53.018658 
37.118584;53.012512 
37.115818;52.995041 
37.108246;52.976109 
37.098339;52.957691 
37.113533;52.898911 
37.098873;52.836498 
37.062115;52.857822 
37.084080;52.861496 
37.083252;52.866089 
37.076221;52.890694 
37.050327;52.877048 
37.038391;52.890255 
37.028667;52.887562 
37.040535;52.919937 
37.068031;52.953602 
37.069191;52.957268 
37.061966;52.969700 
37.052113;52.951149 
37.038193;52.930557 
37.045628;52.953884 
37.055531;52.955746 
37.053207;52.920078 
37.064625;52.934891 
37.052986;52.926876 
37.052002;52.934475 
37.081673;52.889999 
