T;A 
1.000000;1.000000 
1.015000;1.999530 
1.030000;3.997180 
1.045000;7.986851 
1.060000;15.943748 
1.075000;31.768326 
1.090000;63.065090 
1.105000;124.283836 
1.120000;241.486588 
1.135000;456.865967 
1.150000;824.159546 
1.165000;1376.184937 
1.180000;2063.007324 
1.195000;2736.649414 
1.210000;3255.018799 
1.225000;3582.091309 
1.240000;3762.708984 
1.255000;3855.045410 
1.270000;3900.373047 
1.285000;3922.178467 
1.300000;3932.565918 
1.315000;3937.490967 
1.330000;3939.820801 
1.345000;3940.921875 
1.360000;3941.441895 
1.375000;3941.687500 
1.390000;3941.803467 
1.405000;3941.858398 
1.420000;3941.884277 
1.435000;3941.896484 
1.450000;3941.902100 
1.465000;3941.904785 
1.480000;3941.906250 
1.495000;3941.906738 
1.510000;3941.906982 
1.525000;3941.907227 
1.540000;3941.907227 
1.555000;3941.907227 
1.570000;3941.907227 
1.585000;3941.907227 
1.600000;3941.907227 
1.615000;3941.907227 
1.630000;3941.907227 
1.645000;3941.907227 
1.660000;3941.907227 
1.675000;3941.907227 
1.690000;3941.907227 
1.705000;3941.907227 
1.720000;3941.907227 
1.735000;3941.907227 
1.750000;3941.907227 
1.765000;3941.907227 
1.780000;3941.907227 
1.795000;3941.907227 
1.810000;3941.907227 
1.825000;3941.907227 
1.840000;3941.907227 
1.855000;3941.907227 
1.870000;3941.907227 
1.885000;3941.907227 
1.900000;3941.907227 
1.915000;3941.907227 
1.930000;3941.907227 
1.945000;3941.907227 
1.960000;3941.907227 
1.975000;3941.907227 
1.990000;3941.907227 
2.005000;3941.907227 
2.020000;3941.907227 
2.035000;3941.907227 
2.050000;3941.907227 
2.065000;3941.907227 
2.080000;3941.907227 
2.095000;3941.907227 
2.110000;3941.907227 
2.125000;3941.907227 
2.140000;3941.907227 
2.155000;3941.907227 
2.170000;3941.907227 
2.185000;3941.907227 
2.200000;3941.907227 
2.215000;3941.907227 
2.230000;3941.907227 
2.245000;3941.907227 
2.260000;3941.907227 
2.275000;3941.907227 
2.290000;3941.907227 
2.305000;3941.907227 
2.320000;3941.907227 
2.335000;3941.907227 
2.350000;3941.907227 
2.365000;3941.907227 
2.380000;3941.907227 
2.395000;3941.907227 
2.410000;3941.907227 
2.425000;3941.907227 
2.440000;3941.907227 
2.455000;3941.907227 
2.470000;3941.907227 
2.485000;3941.907227 
2.500000;3941.907227 
2.515000;3941.907227 
2.530000;3941.907227 
2.545000;3941.907227 
2.560000;3941.907227 
2.575000;3941.907227 
2.590000;3941.907227 
2.605000;3941.907227 
2.620000;3941.907227 
2.635000;3941.907227 
2.650000;3941.907227 
2.665000;3941.907227 
2.680000;3941.907227 
2.695000;3941.907227 
2.710000;3941.907227 
2.725000;3941.907227 
2.740000;3941.907227 
2.755000;3941.907227 
