T;V 
1.000000;75.606720 
1.015000;19.079834 
1.030000;-35.702713 
1.045000;-4.618045 
1.060000;27.664551 
1.075000;71.915939 
1.090000;98.404053 
1.105000;67.730606 
1.120000;77.429382 
1.135000;114.602997 
1.150000;61.208004 
1.165000;52.589233 
1.180000;-26.294146 
1.195000;-114.771255 
1.210000;-37.245262 
1.225000;52.340302 
1.240000;-48.841518 
1.255000;-11.584042 
1.270000;75.725800 
1.285000;-7.461118 
1.300000;67.241257 
1.315000;145.256287 
1.330000;29.027428 
1.345000;-12.881594 
1.360000;-34.062344 
1.375000;49.223061 
1.390000;102.616623 
1.405000;210.659103 
1.420000;198.155853 
1.435000;126.692253 
1.450000;160.649933 
1.465000;74.446938 
1.480000;38.061783 
1.495000;75.783470 
1.510000;-39.627094 
1.525000;-106.057678 
1.540000;-4.078216 
1.555000;-50.701466 
1.570000;-118.914299 
1.585000;-19.949368 
1.600000;81.327789 
1.615000;151.790756 
1.630000;173.267838 
1.645000;77.722870 
1.660000;146.100296 
1.675000;138.521011 
1.690000;92.535713 
1.705000;179.175674 
1.720000;110.771004 
1.735000;18.766937 
1.750000;70.567566 
1.765000;109.387360 
1.780000;154.470520 
1.795000;183.409119 
1.810000;98.246094 
1.825000;26.877914 
1.840000;-79.510887 
1.855000;-48.611038 
1.870000;-29.186440 
1.885000;29.289957 
1.900000;84.523949 
1.915000;141.601990 
1.930000;171.052017 
1.945000;55.887451 
1.960000;157.280441 
1.975000;73.191460 
1.990000;-32.007484 
2.005000;39.046001 
2.020000;-44.841492 
2.035000;50.885948 
2.050000;-42.584400 
2.065000;-137.641495 
2.080000;-126.701118 
2.095000;-153.786545 
2.110000;-174.942764 
2.125000;-165.806610 
2.140000;-286.555664 
2.155000;-182.977005 
2.170000;-257.719086 
2.185000;-313.857056 
2.200000;-318.467865 
2.215000;-303.871063 
2.230000;-296.832733 
2.245000;-263.257751 
2.260000;-189.137665 
2.275000;-168.684174 
2.290000;-70.047325 
2.305000;-19.640043 
2.320000;-88.476776 
2.335000;-163.666260 
2.350000;-172.101837 
2.365000;-255.549652 
2.380000;-346.765594 
2.395000;-431.813263 
2.410000;-517.108582 
2.425000;-582.357483 
2.440000;-607.060791 
2.455000;-644.461487 
2.470000;-581.346558 
2.485000;-477.136688 
2.500000;-379.087067 
2.515000;-400.340912 
2.530000;-287.728699 
2.545000;-359.255280 
2.560000;-337.521545 
2.575000;-421.973755 
2.590000;-324.300598 
2.605000;-406.762177 
2.620000;-302.592133 
2.635000;-230.302231 
2.650000;-322.648987 
2.665000;-434.994080 
2.680000;-370.423279 
2.695000;-315.069122 
2.710000;-385.903076 
2.725000;-482.161957 
2.740000;-499.076477 
2.755000;-419.897217 
