T;Z 
1.000000;1.134101 
1.015000;2.249366 
1.030000;3.898944 
1.045000;5.479676 
1.060000;6.856281 
1.075000;8.580090 
1.090000;8.943939 
1.105000;9.243420 
1.120000;10.480507 
1.135000;10.097509 
1.150000;8.877673 
1.165000;6.888763 
1.180000;4.514835 
1.195000;3.334855 
1.210000;2.309204 
1.225000;1.052021 
1.240000;0.328413 
1.255000;-0.567556 
1.270000;-0.443248 
1.285000;-0.290380 
1.300000;-0.206624 
1.315000;1.991515 
1.330000;4.620568 
1.345000;7.056400 
1.360000;9.714321 
1.375000;11.814616 
1.390000;12.422644 
1.405000;16.096710 
1.420000;20.454861 
1.435000;26.712772 
1.450000;30.562668 
1.465000;34.518074 
1.480000;38.877285 
1.495000;42.298103 
1.510000;45.158569 
1.525000;46.594429 
1.540000;48.086159 
1.555000;50.136482 
1.570000;52.422256 
1.585000;54.859848 
1.600000;56.363754 
1.615000;55.862175 
1.630000;54.789829 
1.645000;53.264862 
1.660000;52.920536 
1.675000;51.886410 
1.690000;51.188797 
1.705000;51.680981 
1.720000;53.750778 
1.735000;55.632854 
1.750000;57.917454 
1.765000;58.627174 
1.780000;59.250553 
1.795000;59.331421 
1.810000;58.513008 
1.825000;57.497013 
1.840000;55.602989 
1.855000;54.012383 
1.870000;52.543369 
1.885000;50.821960 
1.900000;49.899853 
1.915000;49.383549 
1.930000;48.069244 
1.945000;45.941422 
1.960000;42.463924 
1.975000;39.722054 
1.990000;37.306129 
2.005000;34.384304 
2.020000;32.133274 
2.035000;30.617857 
2.050000;29.346807 
2.065000;27.143972 
2.080000;25.556299 
2.095000;25.343966 
2.110000;26.309568 
2.125000;25.107288 
2.140000;19.624109 
2.155000;12.771504 
2.170000;4.071406 
2.185000;-2.652682 
2.200000;-4.955490 
2.215000;-3.053238 
2.230000;1.182723 
2.245000;4.858330 
2.260000;10.581161 
2.275000;18.548609 
2.290000;25.568724 
2.305000;32.730846 
2.320000;38.566620 
2.335000;42.989559 
2.350000;48.887951 
2.365000;57.826138 
2.380000;65.796471 
2.395000;76.566399 
2.410000;83.120415 
2.425000;92.286308 
2.440000;98.981995 
2.455000;114.396889 
2.470000;121.169296 
2.485000;126.405342 
2.500000;129.762238 
2.515000;127.598495 
2.530000;122.197403 
2.545000;122.060570 
2.560000;124.068993 
2.575000;130.624725 
2.590000;135.406494 
2.605000;143.751389 
2.620000;154.599274 
2.635000;163.214188 
2.650000;170.017059 
2.665000;183.273514 
2.680000;196.980682 
2.695000;213.970428 
2.710000;225.897659 
2.725000;238.981628 
2.740000;256.867737 
2.755000;274.626190 
