X;Y 
953465286820222654540664537088.000000;898028784435974219105338130432.000000 
3570085486995969296285269229568.000000;3069059781472156899406510030848.000000 
8711080616070497722542285914112.000000;7172283066075452180023671259136.000000 
17237671898512885345249361133568.000000;13866888108749854392762390020096.000000 
30011078140940570347085792018432.000000;23812066797850997098686583930880.000000 
47892519963359720332674637758464.000000;37667007092725600111315352813568.000000 
71743219194702322521268132249600.000000;56090898766109112666111558549504.000000 
102424392828197085673601810563072.000000;79742937635366082071683936550912.000000 
140797274782034193155219653656576.000000;109282309846454498719607824580608.000000 
187723065124480879122048750714880.000000;145368203963183992230716909813760.000000 
244062992938024048481116383870976.000000;188659798877957635308811481776128.000000 
310678267962337492305383039959040.000000;239816317004508006784342119415808.000000 
388430148294127786252976194060288.000000;299496922728128343985559015784448.000000 
478179795316035936811689344761856.000000;368360819119738111908845954531328.000000 
580788505810394747307783557742592.000000;447067151221817434048386333409280.000000 
697117383131405882726851945693184.000000;536275199476538230736831117262848.000000 
828027762747028374063289164890112.000000;636644089583567511634296908546048.000000 
974380825382716341638955509219328.000000;748833024613824741737167490908160.000000 
1137037790449550133443844863164416.000000;873501168952603158373693057400832.000000 
1316859954729862552804218292404224.000000;1011307725670822226540257391673344.000000 
